GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reports/group-actors,org.sunbird.util,GroupRequestHandler,462,0,44,0,110,0,38,0,16,0
reports/group-actors,org.sunbird.util,DBUtil,54,0,2,0,16,0,6,0,5,0
reports/group-actors,org.sunbird.util,ContentSearchUtil.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
reports/group-actors,org.sunbird.util,TelemetryHandler,358,0,35,0,99,0,24,0,6,0
reports/group-actors,org.sunbird.util,ActivityConfigReader,139,0,6,0,36,0,9,0,6,0
reports/group-actors,org.sunbird.util,ContentSearchUtil,163,0,14,0,40,0,10,0,3,0
reports/group-actors,org.sunbird.util,GroupUtil,280,0,26,0,74,0,28,0,15,0
reports/group-actors,org.sunbird.util,SearchServiceUtil,44,0,4,0,10,0,4,0,2,0
reports/group-actors,org.sunbird.util,DBUtil.DbInfo,88,0,8,0,31,0,18,0,14,0
reports/group-actors,org.sunbird.util,SystemConfigUtil,109,0,14,0,30,0,13,0,6,0
reports/group-actors,org.sunbird.util,CacheUtil,261,0,8,0,61,0,12,0,8,0
reports/group-actors,org.sunbird.util,ExceptionHandler,22,0,2,0,4,0,3,0,2,0
reports/group-actors,org.sunbird.util,NotificationService,230,0,12,0,56,0,13,0,7,0
reports/group-actors,org.sunbird.actors,ReadGroupActor,259,0,14,0,49,0,12,0,5,0
reports/group-actors,org.sunbird.actors,HealthActor,34,0,0,0,8,0,2,0,2,0
reports/group-actors,org.sunbird.actors,GroupNotificationActor,389,0,44,0,82,0,28,0,6,0
reports/group-actors,org.sunbird.actors,CacheActor,115,0,4,0,33,0,8,0,5,0
reports/group-actors,org.sunbird.actors,UpdateGroupMembershipActor,267,0,20,0,59,0,15,0,5,0
reports/group-actors,org.sunbird.actors,SearchGroupActor,254,0,18,0,58,0,14,0,5,0
reports/group-actors,org.sunbird.actors,ReadGroupActor.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
reports/group-actors,org.sunbird.actors,BaseActor,164,0,4,0,38,0,10,0,8,0
reports/group-actors,org.sunbird.actors,SearchGroupActor.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
reports/group-actors,org.sunbird.actors,CreateGroupActor,450,0,28,0,99,0,23,0,9,0
reports/group-actors,org.sunbird.actors,UpdateGroupActor,894,0,114,0,178,0,71,0,14,0
reports/group-actors,org.sunbird.actors,DeleteGroupActor,266,0,8,0,48,0,9,0,5,0
reports/group-actors,org.sunbird.notifications,GroupDeleteNotificationHandler,203,0,8,0,39,0,9,0,5,0
reports/group-actors,org.sunbird.notifications,NotificationManager,69,0,2,0,16,0,4,0,3,0
reports/group-actors,org.sunbird.notifications,NotificationFactory,29,0,4,0,9,0,5,0,2,0
reports/group-actors,org.sunbird.notifications,MemberUpdateNotificationHandler,443,0,30,0,93,0,23,0,8,0
reports/group-actors,org.sunbird.notifications,ActivityUpdateNotificationHandler,563,0,44,0,106,0,36,0,14,0
reports/group-actors,org.sunbird,Application,23,0,0,0,7,0,4,0,4,0
reports/group-actors,org.sunbird,BaseLogger,14,0,0,0,5,0,3,0,3,0
reports/group-actors,org.sunbird.service,MemberServiceImpl,921,0,84,0,223,0,75,0,33,0
reports/group-actors,org.sunbird.service,UserServiceImpl,289,0,12,0,77,0,14,0,8,0
reports/group-actors,org.sunbird.service,GroupServiceImpl,792,0,70,0,187,0,60,0,25,0
reports/group-actors,org.sunbird.service,UserService,36,0,4,0,9,0,4,0,2,0
reports/group-actors,org.sunbird.dao,MemberDaoImpl,274,0,8,0,67,0,21,0,17,0
reports/group-actors,org.sunbird.dao,MemberDaoImpl.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
reports/group-actors,org.sunbird.dao,GroupDaoImpl.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
reports/group-actors,org.sunbird.dao,GroupDaoImpl,119,0,2,0,27,0,9,0,8,0
reports/group-service,validators,GroupReadRequestValidator,67,0,0,0,13,0,3,0,3,0
reports/group-service,validators,IRequestValidator,2,0,0,0,1,0,1,0,1,0
reports/group-service,validators,GroupUpdateRequestValidator,204,0,16,0,45,0,13,0,5,0
reports/group-service,validators,GroupSearchRequestValidator,67,0,0,0,13,0,3,0,3,0
reports/group-service,validators,ValidationUtil,231,0,36,0,48,0,26,0,8,0
reports/group-service,validators,GroupMembershipUpdateRequestValidator,82,0,0,0,17,0,3,0,3,0
reports/group-service,validators,GroupCreateRequestValidator,232,0,8,0,42,0,9,0,5,0
reports/group-service,validators,NoValidator,3,0,0,0,1,0,1,0,1,0
reports/group-service,validators,GroupDeleteRequestValidator,67,0,0,0,13,0,3,0,3,0
reports/group-service,utils,ApplicationStart,32,0,4,0,16,0,6,0,4,0
reports/group-service,controllers,HealthController,27,0,0,0,6,0,3,0,3,0
reports/group-service,controllers,DeleteGroupController,21,0,0,0,5,0,3,0,3,0
reports/group-service,controllers,BaseController.new Function() {...},14,0,0,0,2,0,2,0,2,0
reports/group-service,controllers,Jest,15,0,0,0,3,0,2,0,2,0
reports/group-service,controllers,UpdateGroupController,21,0,0,0,5,0,3,0,3,0
reports/group-service,controllers,CreateGroupController,21,0,0,0,5,0,3,0,3,0
reports/group-service,controllers,ReadGroupController,45,0,2,0,10,0,4,0,3,0
reports/group-service,controllers,UpdateGroupMembershipController,21,0,0,0,5,0,3,0,3,0
reports/group-service,controllers,SearchGroupController,21,0,0,0,5,0,3,0,3,0
reports/group-service,controllers,ResponseHandler,229,0,15,0,55,0,15,0,7,0
reports/group-service,controllers,BaseController,133,0,8,0,34,0,16,0,12,0
reports/group-service,utils.module,PrintEntryExitLog.new HashMap() {...},16,0,0,0,3,0,1,0,1,0
reports/group-service,utils.module,StartModule,8,0,0,0,3,0,2,0,2,0
reports/group-service,utils.module,PrintEntryExitLog,364,0,32,0,93,0,24,0,8,0
